"","Berba","Datum_berbe","Šećer...Oe.","Kiselina..g.L.","Pupanje","Cvatnja","Šara","Pupanje_doy","Sara_doy","Cvatnja_doy","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2010,2010-09-30,"80-84","6,5-8,0",2010-04-05,2010-06-07,2010-08-08,95,220,158,273,63,125,178,62,53
"2",2011,2011-09-14,"86-99","5,5-6,5",2011-04-07,2011-06-03,2011-08-04,97,216,154,257,57,119,160,62,41
"3",2012,2012-09-06,"87-93","5,0-5,5",2012-04-05,2012-06-01,2012-08-06,96,219,153,250,57,123,154,66,31
"4",2013,2013-09-20,"87-95","6,5-7,5",2013-04-19,2013-05-25,2013-08-06,109,218,145,263,36,109,154,73,45
"5",2014,2014-09-30,"80-89","7,5-9,0",2014-03-24,2014-06-04,2014-08-01,83,213,155,273,72,130,190,58,60
"6",2015,2015-09-12,"89-91","5,7-7,0",2015-04-16,2015-05-30,2015-08-03,106,215,150,255,44,109,149,65,40
"7",2016,2016-09-28,"85-94","6,8-7,45",2016-04-08,2016-06-10,2016-08-16,99,229,162,272,63,130,173,67,43
"8",2017,2017-08-30,"88-93","6,2-7,25",2017-04-01,2017-06-01,2017-08-06,91,218,152,242,61,127,151,66,24
"9",2018,2018-09-01,"83-88","6,0-6,5",2018-04-10,2018-05-18,2018-07-23,100,204,138,244,38,104,144,66,40
"10",2019,2019-09-12,"81-94","5,4-7,5",2019-04-02,2019-06-02,2019-08-11,92,223,153,255,61,131,163,70,32
"11",2020,2020-09-12,"86-100","6,0-7,0",2020-04-05,2020-06-02,2020-08-08,96,221,154,256,58,125,160,67,35
