"","Berba","Pupanje_DOY","Cvatnja_DOY","Sara_DOY","Berba_DOY","Sara_Pupanje","Berba_Pupanje","Berba_Sara"
"2",1962,117,152,216,271,99,154,55
"3",1963,110,152,205,273,95,163,68
"4",1964,115,149,208,277,93,162,69
"5",1965,NA,NA,NA,NA,NA,NA,NA
"6",1966,105,145,214,265,109,160,51
"7",1967,105,152,218,275,113,170,57
"8",1968,101,134,204,263,103,162,59
"9",1969,102,147,212,267,110,165,55
"10",1970,116,155,222,288,106,172,66
"11",1971,118,151,222,271,104,153,49
"12",1972,102,146,223,265,121,163,42
"13",1973,113,153,222,270,109,157,48
"14",1974,115,158,226,275,111,160,49
"15",1975,104,146,230,265,126,161,35
"16",1976,106,154,231,278,125,172,47
"17",1977,94,139,221,272,127,178,51
"18",1978,NA,NA,NA,NA,NA,NA,NA
"19",1979,108,149,225,270,117,162,45
"20",1980,109,171,238,282,129,173,44
"21",1981,106,149,228,274,122,168,46
"22",1982,109,149,232,276,123,167,44
"23",1983,111,151,224,276,113,165,52
"24",1984,NA,NA,NA,NA,NA,NA,NA
"25",1985,119,162,233,273,114,154,40
"26",1986,118,160,238,279,120,161,41
"27",1987,119,162,241,288,122,169,47
"28",1988,113,155,241,285,128,172,44
"29",1989,101,156,248,289,147,188,41
"30",1990,98,147,245,281,147,183,36
"31",1991,96,158,246,283,150,187,37
"32",1992,104,144,243,277,139,173,34
"33",1993,105,149,241,277,136,172,36
"34",1994,87,146,234,276,147,189,42
"35",1995,119,159,230,277,111,158,47
"36",1996,108,149,235,288,127,180,53
"37",1997,124,155,218,272,94,148,54
"38",1998,119,146,217,273,98,154,56
"39",1999,119,148,215,270,96,151,55
"40",2000,119,148,210,256,91,137,46
"41",2001,111,142,211,267,100,156,56
"42",2002,102,143,208,258,106,156,50
"43",2003,114,147,198,253,84,139,55
"44",2004,111,152,211,268,100,157,57
"45",2005,106,149,209,269,103,163,60
"46",2006,111,160,218,273,107,162,55
"47",2007,101,137,202,252,101,151,50
"48",2008,101,148,215,266,114,165,51
"49",2009,96,145,210,271,114,175,61
"50",2010,104,145,210,273,106,169,63
"51",2011,114,141,208,265,94,151,57
"52",2012,117,148,206,264,89,147,58
"53",2013,109,143,194,263,85,154,69
"54",2014,97,144,213,270,116,173,57
"55",2015,103,143,203,268,100,165,65
"56",2016,99,142,211,264,112,165,53
"57",2017,95,141,211,258,116,163,47
"58",2018,89,141,209,248,120,159,39
"59",2019,117,146,211,268,94,151,57
"60",2020,114,154,223,264,109,150,41
