"","Berba","Pupanje","Pupanje_doy","Cvatnja","Cvatnja_doy","Sara","Sara_doy","Berba.1","Berba_doy","Sara_Pupanje","Berba_Pupanje","Berba_Sara"
"1",2008,"6.4.",96,"1.6.",152,"28.7.",209,"20.9.",263,113,167,54
"2",2009,"6.4.",96,"28.5.",148,"24.7.",205,"16.9.",259,109,163,54
"3",2010,"9.4.",99,"6.6.",157,"31.7.",212,"22.9.",265,113,166,53
"4",2011,"6.4.",96,"26.5.",146,"27.7.",208,"5.9.",248,112,152,40
"5",2012,"30.3.",90,"1.6.",152,"29.7.",210,"5.9.",248,120,158,38
"6",2013,"13.4.",103,"3.6.",154,"30.7.",211,"16.9.",259,108,156,48
"7",2014,"14.3.",73,"27.5.",147,"25.7.",206,"26.9.",269,133,196,63
"8",2015,"6.4.",96,"31.5.",151,"26.7.",207,"15.9.",258,111,162,51
"9",2016,"24.3.",84,"31.5.",151,"29.7.",211,"21.9.",265,127,181,54
"10",2017,"26.3.",85,"29.5.",149,"22.7.",203,"22.9.",265,118,180,62
"11",2018,"7.4.",97,"23.5.",143,"16.7.",197,"18.9.",261,100,164,64
"12",2019,"31.3.",90,"9.6.",160,"1.8.",213,"27.9.",270,123,180,57
"13",2020,"25.3.",85,"27.5.",148,"25.7.",207,"17.9.",261,122,176,54
